Heat/Lot ID,Temp (R),Stress (ksi),Life (h)
24085,1509.67,30.00,2373.2
24085,1509.67,35.00,2735.4
24085,1659.67,25.00,645.0
24085,1659.67,22.50,2634.0
24085,1659.67,20.00,5656.0
24085,1659.67,17.00,13830.0
24085,1759.67,16.00,365.0
24085,1759.67,15.00,540.4
24085,1759.67,12.00,2303.0
24085,2059.67,6.00,112.8
24085,2059.67,4.50,594.6
24085,2059.67,4.00,1021.9
24085,2059.67,3.00,3201.0
346544,1459.67,46.00,120.1
346544,1459.67,46.00,139.3
346544,1559.67,30.00,356.1
346544,1559.67,30.00,431.0
346544,2059.67,5.00,222.1
346544,2059.67,4.00,747.0
346544,2059.67,3.00,3154.0
535639,1459.67,35.00,6401.0
535639,1559.67,40.00,156.4
535639,1559.67,35.00,164.7
535639,1559.67,25.00,719.3
535639,1559.67,30.00,941.6
535639,1559.67,30.00,1271.0
535639,1559.67,20.00,1673.0
535639,1559.67,20.00,1681.7
535639,1559.67,25.00,2928.0
535639,1559.67,22.50,2987.0
535639,1659.67,30.00,119.8
535639,1659.67,25.00,344.7
535639,1659.67,20.00,3034.0
600413m,1459.67,46.00,252.6
600413m,1559.67,35.00,325.9
600413m,1559.67,20.00,1959.0
600413m,1559.67,17.00,117148.0
600413m,1659.67,25.00,340.0
600414an,1559.67,35.00,119.5
600414an,1559.67,35.00,415.6
600414an,1559.67,30.00,1795.0
600414an,1559.67,17.00,93951.6
600414an,1659.67,25.00,266.3
8043813-ann-1900F,1659.67,25.00,104.0
8043813-ann-1900F,1659.67,22.00,577.0
8043813-ann-1900F,1659.67,20.00,1642.0
8043813-ann-1950F,1459.67,50.00,348.0
8043813-ann-1950F,1459.67,45.00,837.0
8043813-ann-1950F,1559.67,35.00,287.0
8043813-ann-1950F,1559.67,33.00,723.0
8043813-ann-1950F,1559.67,32.00,1570.0
8043813-ann-1950F,1559.67,30.00,3184.0
8043813-mill,1659.67,25.00,298.7
8043813-mill,1659.67,22.50,1072.0
8043813-mill,1759.67,17.00,178.0
9T2796-ann-1in. plate,1359.67,55.00,668.0
9T2796-ann-1in. plate,1359.67,50.00,884.0
9T2796-ann-1in. plate,1359.67,45.00,3621.0
9T2796-ann-1in. plate,1409.67,50.00,122.1
9T2796-ann-1in. plate,1409.67,45.00,269.0
9T2796-ann-1in. plate,1409.67,40.00,655.0
9T2796-ann-1in. plate,1409.67,35.00,3511.0
9T2796-ann-1in. plate,1459.67,40.00,139.7
9T2796-ann-1in. plate,1459.67,40.00,162.8
9T2796-ann-1in. plate,1459.67,35.00,350.4
9T2796-ann-1in. plate,1459.67,35.00,594.8
9T2796-ann-1in. plate,1459.67,30.00,2219.0
9T2796-ann-1in. plate,1509.67,35.00,114.5
9T2796-ann-1in. plate,1509.67,30.00,419.9
9T2796-ann-1in. plate,1509.67,25.00,2054.0
9T2796-ann-1in. plate,1559.67,60.00,110.8
9T2796-ann-1in. plate,1559.67,22.50,440.0
9T2796-ann-1in. plate,1559.67,25.00,505.0
9T2796-ann-1in. plate,1559.67,25.00,553.0
9T2796-ann-1in. plate,1559.67,25.00,619.0
9T2796-ann-1in. plate,1559.67,22.50,878.0
9T2796-ann-1in. plate,1559.67,21.25,1063.0
9T2796-ann-1in. plate,1559.67,20.00,1230.0
9T2796-ann-1in. plate,1559.67,22.50,1247.0
9T2796-ann-1in. plate,1559.67,17.50,15500.0
9T2796-ann-1in. plate,1559.67,17.50,15500.0
9T2796-ann-1in. plate,1609.67,25.00,119.0
9T2796-ann-1in. plate,1609.67,25.00,119.0
9T2796-ann-1in. plate,1609.67,20.00,649.0
9T2796-ann-1in. plate,1609.67,20.00,649.0
9T2796-ann-1in. plate,1609.67,17.50,2635.0
9T2796-ann-1in. plate,1609.67,15.00,4596.0
9T2796-ann-1in. plate,1609.67,15.00,4596.0
9T2796-ann-1in. plate,1609.67,12.50,31527.0
9T2796-ann-2in. Plate,1359.67,30.00,34964.0
9T2796-ann-2in. Plate,1459.67,20.00,30763.0
9T2796-ann-2in. Plate,1559.67,25.00,244.1
9T2796-ann-2in. Plate,1559.67,25.00,291.0
9T2796-ann-2in. Plate,1559.67,25.00,294.0
9T2796-ann-2in. Plate,1559.67,25.00,423.0
9T2796-ann-2in. Plate,1559.67,25.00,453.0
9T2796-ann-2in. Plate,1559.67,18.00,4544.0
9T2796-ann-2in. Plate,1559.67,16.00,14647.0
9T2796-ann-2in. Plate,1559.67,12.00,100417.0
9T2796-ann-5/8in.,1659.67,25.00,104.0
9T2796-ann-5/8in.,1659.67,25.00,298.7
9T2796-ann-5/8in.,1659.67,22.00,577.0
9T2796-ann-5/8in.,1659.67,22.50,1072.0
9T2796-ann-5/8in.,1659.67,20.00,1642.0
9T2796-ann-5/8in.,1759.67,17.00,178.0
A 9-209,1509.67,27.00,1396.8
A 9-209,1509.67,23.00,4279.2
A 9-209,1509.67,20.00,12019.0
A 9-209,1659.67,20.00,139.3
A 9-209,1659.67,16.50,698.6
A 9-209,1659.67,13.00,3734.2
A 9-209,1659.67,11.00,14292.7
A 9-21a,1359.67,52.20,216.4
A 9-21a,1359.67,52.20,216.4
A 9-21a,1359.67,50.00,464.7
A 9-21a,1359.67,50.00,464.7
A 9-21a,1359.67,47.00,814.0
A 9-21a,1359.67,47.00,814.0
A 9-21a,1509.67,32.00,216.0
A 9-21a,1509.67,32.00,216.0
A 9-21a,1509.67,28.00,915.7
A 9-21a,1509.67,28.00,915.7
A 9-21a,1659.67,19.00,234.5
A 9-21a,1659.67,16.50,598.2
A 9-21a,1759.67,10.00,871.7
A 9-21a,1859.67,8.00,225.7
A 9-21a,1959.67,6.00,152.9
A 9-21a,1959.67,4.40,588.3
A 9-21a,2059.67,3.50,209.7
A 9-21a,2059.67,2.50,918.2
A 9-22,1509.67,33.00,135.0
A 9-22,1509.67,26.00,732.0
A 9-22,1509.67,25.00,1051.0
A 9-22,1659.67,19.00,1510.0
A 9-335,1559.67,24.00,202.0
A 9-335,1559.67,20.00,506.0
A 9-335,1559.67,16.00,3247.0
A 9-335,1759.67,10.00,118.0
A 9-335,1759.67,8.00,420.0
A 9-335,1759.67,6.00,1687.0
A 9-335,1959.67,4.00,249.0
A 9-335,1959.67,2.00,10470.0
ABB,1571.67,31.33,219.0
ABB,1571.67,28.43,502.8
ABB,1571.67,25.67,1568.7
ABB,1571.67,22.77,5151.0
ABB,1571.67,19.87,15467.9
ABB,1571.67,17.11,37441.0
ABB,1571.67,15.66,74753.6
ABB,1571.67,14.21,121828.9
ABB,1661.67,19.87,523.7
ABB,1661.67,17.11,1748.3
ABB,1661.67,14.21,5686.5
ABB,1661.67,12.76,20155.1
ABB,1661.67,11.31,36873.9
ABB,1661.67,10.00,63534.9
ABB,1661.67,8.85,91308.2
ABB,1751.67,14.21,622.5
ABB,1751.67,11.31,1127.5
ABB,1751.67,10.00,8922.4
ABB,1751.67,8.85,16983.9
ABB,1751.67,7.69,19562.6
ABB,1751.67,6.82,33021.8
ABB,1751.67,5.94,46947.1
ABB,1841.67,11.31,241.9
ABB,1841.67,7.69,5082.8
ABB,1841.67,6.82,11507.5
ABC,1571.67,31.33,216.0
ABC,1571.67,31.33,227.2
ABC,1571.67,28.43,553.2
ABC,1571.67,25.67,1538.4
ABC,1571.67,22.77,4676.5
ABC,1571.67,19.87,13612.2
ABC,1571.67,17.11,41992.6
ABC,1571.67,15.66,82804.4
ABC,1616.67,25.67,321.2
ABC,1661.67,19.87,496.8
ABC,1661.67,17.11,1472.6
ABC,1661.67,14.21,8534.8
ABC,1661.67,12.76,19824.3
ABC,1661.67,11.31,37563.4
ABC,1661.67,10.01,64893.0
ABC,1661.67,8.85,92853.1
ABC,1706.67,17.11,695.4
ABC,1751.67,14.21,449.6
ABC,1751.67,14.21,528.4
ABC,1751.67,11.31,3288.0
ABC,1751.67,10.00,9322.3
ABC,1751.67,8.85,15779.9
ABC,1751.67,7.69,29158.4
ABC,1751.67,6.82,32453.2
ABC,1751.67,5.94,54922.8
ABC,1796.67,11.31,1047.6
ABC,1841.67,11.31,270.3
ABC,1841.67,7.69,4781.3
ABC,1841.67,6.82,10340.0
ABC,1841.67,5.37,16330.2
ABD,1571.67,34.08,141.3
ABD,1571.67,31.33,254.0
ABD,1571.67,28.43,629.9
ABD,1571.67,25.67,1366.0
ABD,1571.67,22.77,3493.7
ABD,1571.67,19.87,8988.0
ABD,1571.67,17.11,32370.2
ABD,1571.67,15.66,81332.9
ABD,1571.67,14.21,108314.4
ABD,1661.67,19.87,453.2
ABD,1661.67,17.11,1536.3
ABD,1661.67,14.21,7111.4
ABD,1661.67,12.76,24949.9
ABD,1661.67,11.31,46981.6
ABD,1751.67,14.21,554.0
ABD,1751.67,11.31,4910.4
ABD,1751.67,10.00,12646.9
ABD,1751.67,8.85,31369.0
ABD,1751.67,7.69,52880.3
ABD,1751.67,6.82,62414.4
ABD,1841.67,11.31,317.1
ABD,1841.67,10.00,420.0
ABD,1841.67,7.69,7648.5
ABD,1841.67,6.82,14110.3
ABF,1571.67,38.43,144.6
ABF,1571.67,34.08,492.4
ABF,1571.67,31.33,1039.3
ABF,1571.67,28.43,2130.8
ABF,1571.67,25.67,4582.6
ABF,1571.67,22.77,10407.3
ABF,1571.67,19.87,27356.1
ABF,1571.67,18.42,39785.5
ABF,1571.67,17.11,72667.6
ABF,1571.67,15.66,141145.2
ABF,1661.67,25.67,123.7
ABF,1661.67,19.87,1151.1
ABF,1661.67,17.11,4762.7
ABF,1661.67,14.21,18800.0
ABF,1661.67,12.76,28385.9
ABF,1661.67,12.04,39371.9
ABF,1661.67,11.31,63422.0
ABF,1661.67,10.01,100483.2
ABF,1751.67,17.11,218.0
ABF,1751.67,14.21,1101.4
ABF,1751.67,11.31,4879.0
ABF,1751.67,10.00,12932.7
ABF,1751.67,8.85,38588.3
ABF,1751.67,7.69,60692.0
ABF,1751.67,6.82,78060.6
ABF,1841.67,11.31,372.0
ABF,1841.67,10.00,1094.5
ABF,1841.67,7.69,3584.6
ABF,1841.67,6.82,8122.0
ABL,1571.67,38.43,274.2
ABL,1571.67,34.08,801.6
ABL,1571.67,31.33,2118.6
ABL,1571.67,28.43,9746.9
ABL,1571.67,25.67,39181.5
ABL,1571.67,22.77,59734.0
ABL,1571.67,21.32,75452.5
ABL,1571.67,19.87,102448.2
ABL,1661.67,28.43,130.0
ABL,1661.67,25.67,335.6
ABL,1661.67,19.87,5146.7
ABL,1661.67,17.11,12759.0
ABL,1661.67,14.21,40870.3
ABL,1661.67,12.76,51629.0
ABL,1661.67,11.31,65773.0
ABL,1751.67,19.87,123.2
ABL,1751.67,17.11,315.7
ABL,1751.67,14.21,1273.0
ABL,1751.67,11.31,5012.0
ABL,1751.67,10.00,17319.2
ABL,1751.67,8.85,27741.6
ABL,1751.67,8.27,36695.6
ABL,1751.67,6.82,59176.0
ABL,1841.67,11.31,575.8
ABL,1841.67,10.00,1757.0
ABL,1841.67,7.69,10151.9
ABL,1841.67,6.82,16483.0
ABM,1571.67,38.43,202.5
ABM,1571.67,34.08,611.6
ABM,1571.67,31.33,1545.8
ABM,1571.67,28.43,6700.7
ABM,1571.67,25.67,19171.9
ABM,1571.67,22.77,48649.6
ABM,1571.67,21.32,69250.2
ABM,1571.67,19.87,87872.4
ABM,1571.67,19.87,89175.8
ABM,1661.67,28.43,132.6
ABM,1661.67,25.67,343.8
ABM,1661.67,19.87,4730.0
ABM,1661.67,17.11,12156.0
ABM,1661.67,14.21,26990.5
ABM,1661.67,12.76,38341.0
ABM,1661.67,11.31,52101.0
ABM,1661.67,10.00,74499.5
ABM,1751.67,17.11,259.9
ABM,1751.67,14.21,1038.8
ABM,1751.67,11.31,3991.0
ABM,1751.67,10.00,10727.6
ABM,1751.67,8.85,20090.3
ABM,1751.67,8.27,28976.0
ABM,1751.67,6.82,53990.8
ABM,1841.67,11.31,401.6
ABM,1841.67,10.00,1209.9
ABM,1841.67,7.69,5636.6
ABM,1841.67,6.82,10411.0
ABN,1571.67,34.08,642.6
ABN,1571.67,31.33,1593.0
ABN,1571.67,31.33,2390.7
ABN,1571.67,28.43,7062.2
ABN,1571.67,25.67,20901.5
ABN,1571.67,22.77,49531.7
ABN,1571.67,21.32,68691.9
ABN,1571.67,19.87,84158.7
ABN,1616.67,25.67,4867.9
ABN,1661.67,25.67,353.4
ABN,1661.67,19.87,6064.8
ABN,1661.67,17.11,12567.0
ABN,1661.67,14.21,27157.5
ABN,1661.67,12.76,39312.6
ABN,1661.67,11.31,58991.8
ABN,1661.67,10.00,74499.5
ABN,1706.67,17.11,2124.1
ABN,1751.67,14.21,1161.9
ABN,1751.67,14.21,1204.8
ABN,1751.67,11.31,4748.4
ABN,1751.67,10.00,11268.2
ABN,1751.67,8.85,21833.4
ABN,1751.67,8.27,30971.8
ABN,1751.67,6.82,55095.6
ABN,1796.67,11.31,1803.6
ABN,1841.67,11.31,487.9
ABN,1841.67,7.69,4765.4
ABN,1841.67,6.82,12075.0
AbW,1301.67,54.10,21582.0
AbW,1346.67,48.30,9468.5
AbW,1346.67,42.64,23886.0
AbW,1391.67,59.76,172.1
AbW,1391.67,54.10,512.8
AbW,1391.67,48.30,1925.0
AbW,1391.67,42.64,6435.7
AbW,1391.67,38.43,16411.0
AbW,1391.67,34.08,45260.0
AbW,1391.67,31.33,90106.0
AbW,1436.67,38.43,4981.9
AbW,1436.67,34.08,15811.0
AbW,1436.67,28.43,71995.0
AbW,1481.67,42.64,280.0
AbW,1481.67,38.43,889.5
AbW,1481.67,34.08,3261.9
AbW,1481.67,34.08,3325.2
AbW,1481.67,34.08,3472.4
AbW,1481.67,31.33,7711.9
AbW,1481.67,28.43,17181.0
AbW,1481.67,25.67,45751.0
AbW,1481.67,22.77,105000.0
AbW,1526.67,22.77,21470.0
AbW,1571.67,34.08,105.8
AbW,1571.67,28.43,468.2
AbW,1571.67,25.67,1478.5
AbW,1571.67,22.77,2948.4
AbW,1571.67,19.87,8679.8
AbW,1661.67,19.87,414.6
AbW,1661.67,14.21,7061.5
AbW,1661.67,10.01,84194.3
AbW,1706.67,14.21,1462.6
AbW,1751.67,14.21,591.0
AbW,1751.67,10.01,7684.7
AbW,1751.67,5.95,51493.0
AbX,1301.67,54.10,18338.0
AbX,1301.67,42.64,103925.0
AbX,1346.67,48.30,7552.1
AbX,1346.67,42.64,21048.0
AbX,1391.67,54.10,294.0
AbX,1391.67,48.30,948.8
AbX,1391.67,42.64,3529.2
AbX,1391.67,38.43,10396.6
AbX,1391.67,34.08,36020.0
AbX,1391.67,31.33,95542.0
AbX,1436.67,38.43,1708.0
AbX,1436.67,34.08,6567.1
AbX,1436.67,28.43,45172.2
AbX,1481.67,38.43,300.9
AbX,1481.67,34.08,1135.1
AbX,1481.67,28.43,7704.0
AbX,1481.67,25.67,27517.5
AbX,1481.67,22.77,106000.0
AbX,1526.67,22.77,14254.7
AbX,1571.67,28.43,166.2
AbX,1571.67,22.77,1691.3
AbX,1571.67,19.87,8679.8
AbX,1571.67,18.42,14102.7
AbX,1571.67,14.21,85879.0
AbX,1661.67,19.87,194.6
AbX,1661.67,18.42,326.8
AbX,1661.67,12.76,6057.0
AbX,1661.67,10.01,24495.0
AbX,1661.67,8.85,40871.0
AbX,1706.67,14.21,1462.6
AbX,1751.67,14.21,194.7
AbX,1751.67,12.76,459.4
AbX,1751.67,8.56,6239.4
AbX,1751.67,5.95,31624.3
AbX,1751.67,4.21,80490.0
Ardell-2%cw,1759.67,20.00,305.0
Ardell-4%cw,1759.67,20.00,193.7
Ardell-ann,1759.67,20.00,291.5
"ASTM DS 5 S1,  CARD 9-184",1659.67,23.00,301.0
"ASTM DS 5 S1,  CARD 9-184",1659.67,20.00,650.0
"ASTM DS 5 S1,  CARD 9-184",1759.67,17.00,102.0
"ASTM DS 5 S1,  CARD 9-184",1759.67,13.00,985.0
"ASTM DS 5 S1,  CARD 9-215",1659.67,22.00,184.0
"ASTM DS 5 S1,  CARD 9-215",1659.67,18.00,995.0
"ASTM DS 5 S1,  CARD 9-215",1659.67,14.00,10522.0
"ASTM DS 5 S1,  CARD 9-215",1809.67,12.00,257.0
"ASTM DS 5 S1,  CARD 9-215",1809.67,9.00,1668.0
"ASTM DS 5 S1,  CARD 9-215",1809.67,7.50,4601.0
"ASTM DS 5 S1,  CARD 9-216",1509.67,45.00,187.0
"ASTM DS 5 S1,  CARD 9-216",1509.67,37.00,978.0
"ASTM DS 5 S1,  CARD 9-216",1509.67,30.00,13629.0
"ASTM DS 5 S1,  CARD 9-216",1509.67,27.00,32505.0
"ASTM DS 5 S1,  CARD 9-216",1659.67,24.00,249.0
"ASTM DS 5 S1,  CARD 9-216",1659.67,20.00,1596.0
"ASTM DS 5 S1,  CARD 9-216",1659.67,16.50,3651.0
"ASTM DS 5 S1,  CARD 9-216",1659.67,15.00,7473.0
"ASTM DS 5 S1,  CARD 9-216",1809.67,12.00,486.6
"ASTM DS 5 S1,  CARD 9-216",1809.67,8.50,3226.0
"ASTM DS 5 S1,  CARD 9-216",1809.67,7.50,6439.0
"ASTM DS 5 S1,  CARD 9-216",1809.67,5.80,30368.0
"ASTM DS 5 S1,  CARD 9-219",1509.67,41.00,326.1
"ASTM DS 5 S1,  CARD 9-219",1509.67,30.00,3127.0
"ASTM DS 5 S1,  CARD 9-219",1509.67,27.00,4201.0
"ASTM DS 5 S1,  CARD 9-219",1509.67,24.00,7863.0
"ASTM DS 5 S1,  CARD 9-219",1659.67,22.00,260.7
"ASTM DS 5 S1,  CARD 9-219",1659.67,20.00,1095.0
"ASTM DS 5 S1,  CARD 9-219",1659.67,16.50,3873.0
"ASTM DS 5 S1,  CARD 9-219",1659.67,15.50,9752.0
"ASTM DS 5 S1,  CARD 9-219",1809.67,12.00,416.0
"ASTM DS 5 S1,  CARD 9-219",1809.67,8.50,3776.0
"ASTM DS 5 S1,  CARD 9-219",1809.67,7.00,8537.0
"ASTM DS 5 S1,  CARD 9-220",1509.67,41.00,173.8
"ASTM DS 5 S1,  CARD 9-220",1509.67,36.50,509.8
"ASTM DS 5 S1,  CARD 9-220",1509.67,30.00,2362.0
"ASTM DS 5 S1,  CARD 9-220",1509.67,27.00,4564.0
"ASTM DS 5 S1,  CARD 9-220",1509.67,24.00,11858.0
"ASTM DS 5 S1,  CARD 9-220",1659.67,27.00,211.9
"ASTM DS 5 S1,  CARD 9-220",1659.67,22.00,742.0
"ASTM DS 5 S1,  CARD 9-220",1659.67,20.00,1517.0
"ASTM DS 5 S1,  CARD 9-220",1659.67,18.00,5597.0
"ASTM DS 5 S1,  CARD 9-220",1659.67,16.50,10646.0
"ASTM DS 5 S1,  CARD 9-220",1659.67,15.00,18208.0
"ASTM DS 5 S1,  CARD 9-220",1809.67,15.00,202.0
"ASTM DS 5 S1,  CARD 9-220",1809.67,12.00,882.0
